ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,DateTime,occupancy_rate,traffic_numeric,price_and_demand,Price,DemandScore,OccupancyRate,diff,time
4410,BHMMBMMBX01,687,20.0000347,78.00000286,602,bike,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.87627365356623,2,"[9.214687615488732, 7.46018922852984]",9.214687615488732,7.46018922852984,0.87627365356623,1,0
8342,Broad Street,690,26.137957749999998,91.74099445,427,car,low,3,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.6188405797101451,1,"[12.388779689821213, 5.2007246376811604]",12.388779689821213,5.2007246376811604,0.6188405797101451,1,0
16212,Others-CCCPS98,3103,26.14749998,91.72797778,592,car,low,3,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.19078311311633903,1,"[10.878908308644847, 1.776264904930712]",10.878908308644847,1.776264904930712,0.19078311311633903,1,0
4409,BHMMBMMBX01,687,20.0000347,78.00000286,567,car,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.82532751091703,1,"[13.02267029049489, 7.002620087336244]",13.02267029049489,7.002620087336244,0.82532751091703,1,0
9652,Others-CCCPS105a,2009,26.14747299,91.72804914,615,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.306122448979591,1,"[11.247586317512459, 2.548979591836734]",11.247586317512459,2.548979591836734,0.306122448979591,1,0
4408,BHMMBMMBX01,687,20.0000347,78.00000286,525,car,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.764192139737991,1,"[12.812058618913955, 6.36353711790393]",12.812058618913955,6.36353711790393,0.764192139737991,1,0
1780,BHMBCCTHL01,387,26.14449459,91.73620513,90,bike,average,1,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.23255813953488302,2,"[7.59289197483753, 1.7104651162790692]",7.59289197483753,1.7104651162790692,0.23255813953488302,1,0
17525,Shopping,1920,26.15050395,91.73353109,748,bike,low,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.389583333333333,1,"[8.040905634923538, 3.066666666666666]",8.040905634923538,3.066666666666666,0.389583333333333,1,0
9656,Others-CCCPS105a,2009,26.14747299,91.72804914,1020,bike,low,4,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.5077152812344451,1,"[8.377952961828711, 4.161722249875559]",8.377952961828711,4.161722249875559,0.5077152812344451,1,0
4405,BHMMBMMBX01,687,20.0000347,78.00000286,352,car,average,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.512372634643377,2,"[12.129584603159472, 4.548981077147016]",12.129584603159472,4.548981077147016,0.512372634643377,1,0
7028,BHMNCPNST01,485,26.14004753,91.73097233,178,car,low,1,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.36701030927835004,1,"[11.404266706565199, 2.886082474226803]",11.404266706565199,2.886082474226803,0.36701030927835004,1,0
10969,Others-CCCPS119a,2803,26.14754061,91.72797041,437,cycle,low,3,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.15590438815554702,1,"[5.248485610446552, 0.9972351052443811]",5.248485610446552,0.9972351052443811,0.15590438815554702,1,0
17529,Shopping,1920,26.15050395,91.73353109,1326,car,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.6906249999999999,1,"[12.658456258197969, 5.925]",12.658456258197969,5.925,0.6906249999999999,1,0
